"Guid","CurrencyIsoCode","Linux__c","Mac__c","Product_Line__c","SBQQ__AdditionalDiscountAmount__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__Bundle__c","SBQQ__BundledQuantity__c","SBQQ__Bundled__c","SBQQ__ChargeType__c","SBQQ__ComponentDiscountedByPackage__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__CustomerPrice__c","SBQQ__Dimension__c","SBQQ__DiscountScheduleType__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DistributorDiscount__c","SBQQ__DynamicOptionId__c","SBQQ__HasConsumptionSchedule__c","SBQQ__ListPrice__c","SBQQ__MarkupAmount__c","SBQQ__MarkupRate__c","SBQQ__NetPrice__c","SBQQ__Number__c","SBQQ__OptionDiscountAmount__c","SBQQ__OptionDiscount__c","SBQQ__OptionLevel__c","SBQQ__OptionType__c","SBQQ__OriginalQuoteLine__c","SBQQ__OriginalUnitCost__c","SBQQ__PackageProductCode__c","SBQQ__PackageProductDescription__c","SBQQ__PartnerDiscount__c","SBQQ__PricingMethod__c","SBQQ__ProductOption__c","SBQQ__ProductSubscriptionType__c","SBQQ__Product__c","SBQQ__ProrateMultiplier__c","SBQQ__Quantity__c","SBQQ__QuoteLine__c","SBQQ__RegularPrice__c","SBQQ__RenewalPrice__c","SBQQ__RenewalQuantity__c","SBQQ__RenewalUpliftRate__c","SBQQ__RenewedDate__c","SBQQ__RequiredById__c","SBQQ__RequiredByProduct__c","SBQQ__RevisedSubscription__c","SBQQ__RootId__c","SBQQ__SegmentEndDate__c","SBQQ__SegmentIndex__c","SBQQ__SegmentKey__c","SBQQ__SegmentLabel__c","SBQQ__SegmentQuantity__c","SBQQ__SegmentStartDate__c","SBQQ__SegmentUpliftAmount__c","SBQQ__SegmentUplift__c","SBQQ__SpecialPrice__c","SBQQ__SubscriptionEndDate__c","SBQQ__SubscriptionStartDate__c","SBQQ__SubscriptionType__c","SBQQ__TermDiscountSchedule__c","SBQQ__TerminatedDate__c","SBQQ__UnitCost__c","Storage__c"
002c82e2-a1d3-460e-805e-218d3112912e,USD,false,false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",false,One-Time,false,"#N/A",3000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxUAAU,false,3000.0,"#N/A","#N/A",3000.0,9.0,"#N/A","#N/A",1.0,Related Product,"#N/A",2327.3363808889962,"#N/A","#N/A","#N/A",List,ffd97078-70da-4fb7-adb9-6c3eaf6426fb,Renewable,407fc8ba-5e66-41bb-9c0d-edf341b9f382,1.0,1.0,"#N/A",3000.0,"#N/A",1.0,3.0,"#N/A",a0t3h0000013mXvAAI,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013mXvAAI,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3000.0,"#N/A",2021-11-17,Renewable,"#N/A","#N/A",2327.3363808889962,false
003aa404-2526-45d6-9127-1fa786413a77,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",1500.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxPAAU,false,1500.0,"#N/A","#N/A",1500.0,7.0,"#N/A","#N/A",1.0,Related Product,"#N/A",86.86995163738018,"#N/A","#N/A","#N/A",List,277d0360-885f-40b5-a41f-d4993a951e19,Renewable,532ff7f1-22ff-4d2f-90df-3fe6aec006ef,12.0,1.0,"#N/A",1500.0,125.0,1.0,3.0,"#N/A",a0t3h0000013mcvAAA,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013mcvAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",125.0,"#N/A",2021-12-18,Renewable,"#N/A","#N/A",86.86995163738018,false
003c753e-6341-4be1-af25-1e3e05d6df53,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",1500.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxPAAU,false,1500.0,"#N/A","#N/A",1500.0,7.0,"#N/A","#N/A",1.0,Related Product,"#N/A",86.86995163738018,"#N/A","#N/A","#N/A",List,277d0360-885f-40b5-a41f-d4993a951e19,Renewable,532ff7f1-22ff-4d2f-90df-3fe6aec006ef,12.0,1.0,"#N/A",1500.0,125.0,1.0,3.0,"#N/A",a0t3h0000013meDAAQ,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013meDAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",125.0,"#N/A",2021-12-18,Renewable,"#N/A","#N/A",86.86995163738018,false
005c62d8-be2e-41c9-b728-04dcaf6f85c3,USD,false,false,"#N/A","#N/A",Monthly,Advance,false,1.0,false,Recurring,false,"#N/A",12000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,false,12000.0,"#N/A","#N/A",12000.0,5.0,"#N/A","#N/A",1.0,Related Product,"#N/A",7781.415045218676,"#N/A","#N/A","#N/A",List,3891fdb7-0037-467b-a2e3-2a09a56e70bc,"#N/A",edb6756e-e42d-43ec-ba57-2f8d3daf1c82,1.0,1.0,"#N/A",12000.0,"#N/A",1.0,"#N/A","#N/A",a0t3h0000013m1bAAA,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013m1bAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12000.0,"#N/A",2020-11-17,"#N/A",0f3582b5-3de6-4224-81ac-020522b866b9,"#N/A",7781.415045218676,false
006a5ca1-0d6b-4ee0-a363-1ae70a149f1f,USD,false,false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",false,One-Time,false,"#N/A",3000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxUAAU,false,3000.0,"#N/A","#N/A",3000.0,5.0,"#N/A","#N/A",1.0,Related Product,"#N/A",2327.3363808889962,"#N/A","#N/A","#N/A",List,ffd97078-70da-4fb7-adb9-6c3eaf6426fb,Renewable,407fc8ba-5e66-41bb-9c0d-edf341b9f382,1.0,1.0,"#N/A",3000.0,"#N/A",1.0,3.0,"#N/A",a0t3h0000013mQTAAY,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013mQTAAY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3000.0,"#N/A",2022-02-17,Renewable,"#N/A","#N/A",2327.3363808889962,false
006a6f6a-2aec-4bbe-bae9-5b6253815020,USD,false,true,"#N/A","#N/A",Monthly,Advance,false,350.0,false,Recurring,false,"#N/A",1296.0,"#N/A",Range,80f6c782-34d6-4791-829d-f8e2280cc64c,"#N/A","#N/A",a0c3h000001qOxyAAE,false,1440.0,"#N/A","#N/A",1296.0,3.0,"#N/A","#N/A",1.0,Related Product,"#N/A",43.024347437700804,"#N/A","#N/A","#N/A",List,a2992922-7fba-4210-90b2-ff06f96d128e,Renewable,fe01dbf1-f323-4417-b9f4-39e9ed79a887,24.0,350.0,"#N/A",1296.0,54.0,350.0,3.0,"#N/A",a0t3h0000013m27AAA,240b6896-ed41-4537-9814-97fdff94d435,"#N/A",a0t3h0000013m27AAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",60.0,"#N/A",2022-03-19,Renewable,"#N/A","#N/A",43.024347437700804,false
006fbb6a-0cb8-40a9-9db5-8c347adb4e7e,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",8000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,false,8000.0,"#N/A","#N/A",8000.0,6.0,"#N/A","#N/A",1.0,Related Product,"#N/A",5892.953568188005,"#N/A","#N/A","#N/A",List,84ea0abe-0108-472c-8708-acdf885ac795,"#N/A",e1052d7a-669c-4b70-b14f-6d9264213fdd,1.0,1.0,"#N/A",8000.0,"#N/A",1.0,"#N/A","#N/A",a0t3h0000013m2OAAQ,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013m2OAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",8000.0,"#N/A",2021-05-20,"#N/A","#N/A","#N/A",5892.953568188005,false
0089deac-29bf-49ee-b9fb-8e93c92aa4c9,USD,false,true,"#N/A","#N/A",Annual,Advance,true,"#N/A",false,Recurring,false,"#N/A",0.0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,0.0,"#N/A","#N/A",0.0,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A","#N/A","#N/A",List,"#N/A",Renewable,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,12.0,1.0,"#N/A",0.0,"#N/A",1.0,3.0,"#N/A","#N/A","#N/A","#N/A",a0t3h0000013mJmAAI,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A",2021-10-20,Renewable,"#N/A","#N/A",0.0,false
0091159d-07b7-4f91-abd7-960f0391f52c,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",916.67,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,false,916.67,"#N/A","#N/A",916.67,11.0,"#N/A","#N/A",1.0,Related Product,"#N/A",775.7787936296654,"#N/A","#N/A","#N/A",List,1f4254e7-cc45-44ab-a1b9-39cd7a884d7e,Renewable,6a965800-e740-4990-86fe-b6974c9f6327,0.9166666666666666,1.0,"#N/A",916.67,1000.0,1.0,3.0,"#N/A",a0t3h0000013m2ZAAQ,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013m2ZAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,"#N/A",2021-11-17,Renewable,"#N/A","#N/A",775.7787936296654,false
00bab0e3-7705-479a-a945-2a38c69435cb,USD,false,false,"#N/A","#N/A",Monthly,Advance,false,"#N/A",false,Recurring,false,"#N/A",12000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,false,12000.0,"#N/A","#N/A",12000.0,5.0,"#N/A","#N/A",1.0,Related Product,"#N/A",8754.576915770134,"#N/A","#N/A","#N/A",List,3891fdb7-0037-467b-a2e3-2a09a56e70bc,Renewable,edb6756e-e42d-43ec-ba57-2f8d3daf1c82,1.0,1.0,"#N/A",12000.0,"#N/A",1.0,3.0,"#N/A",a0t3h0000013m2vAAA,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013m2vAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12000.0,"#N/A",2022-01-17,Renewable,0f3582b5-3de6-4224-81ac-020522b866b9,"#N/A",8754.576915770134,false
00c66f09-5049-4fa6-a617-23ded7c9e80b,USD,false,false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",false,One-Time,false,"#N/A",3000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxUAAU,false,3000.0,"#N/A","#N/A",3000.0,8.0,"#N/A","#N/A",1.0,Related Product,"#N/A",2327.3363808889962,"#N/A","#N/A","#N/A",List,ffd97078-70da-4fb7-adb9-6c3eaf6426fb,Renewable,407fc8ba-5e66-41bb-9c0d-edf341b9f382,1.0,1.0,"#N/A",3000.0,"#N/A",1.0,3.0,"#N/A",a0t3h0000013mYDAAY,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013mYDAAY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3000.0,"#N/A",2021-12-18,Renewable,"#N/A","#N/A",2327.3363808889962,false
00d4e411-8ad8-4f88-9276-9009781bd546,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,1.0,false,Recurring,false,"#N/A",1200.0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,1200.0,"#N/A","#N/A",1200.0,13.0,"#N/A","#N/A",2.0,Component,"#N/A",78.71737916006252,"#N/A","#N/A","#N/A",List,f3d330b9-4cac-4e01-9b28-02a4cb4fb43e,"#N/A",a6f07a72-e43a-451d-b99a-2bcc4d60e4d0,12.0,1.0,"#N/A",1200.0,100.0,1.0,"#N/A","#N/A",a0t3h0000013m8TAAQ,2f7a9af7-50ff-4a65-875d-e3a7f4226227,"#N/A",a0t3h0000013m1TAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",100.0,"#N/A",2020-10-20,"#N/A","#N/A","#N/A",78.71737916006252,false
00ee8adc-42a7-4ce1-9797-44d27bcef17a,USD,false,false,"#N/A",3638.27,Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",4361.73,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,false,8000.0,"#N/A","#N/A",4361.73,5.0,"#N/A","#N/A",1.0,Related Product,"#N/A",5839.850031128531,"#N/A","#N/A","#N/A",List,84ea0abe-0108-472c-8708-acdf885ac795,Renewable,e1052d7a-669c-4b70-b14f-6d9264213fdd,1.0,1.0,"#N/A",8000.0,"#N/A",1.0,3.0,"#N/A","#N/A","#N/A","#N/A",a0t3h0000013mNYAAY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",8000.0,"#N/A",2022-02-17,Renewable,"#N/A","#N/A",5839.850031128531,false
010f07d3-981a-455c-9faf-5c7617d64209,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,1.0,false,Recurring,false,"#N/A",1188.0,"#N/A",Slab,983150ec-eab9-4620-8e4d-ee5aa690383b,"#N/A","#N/A",a0c3h000001qOxKAAU,false,1188.0,"#N/A","#N/A",1188.0,9.0,"#N/A","#N/A",1.0,Related Product,"#N/A",64.90728335229804,"#N/A","#N/A","#N/A",List,"#N/A","#N/A",e6bdfd51-49b7-4d14-b501-896e61b1f083,12.0,1.0,"#N/A",1188.0,99.0,1.0,"#N/A","#N/A",a0t3h0000013m1HAAQ,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013m1HAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",99.0,"#N/A",2020-09-19,"#N/A","#N/A","#N/A",64.90728335229804,false
011ac2e0-23a6-4b26-8852-31731146c405,USD,false,false,"#N/A","#N/A",Monthly,Advance,false,"#N/A",false,Recurring,false,"#N/A",22800.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,false,24000.0,"#N/A","#N/A",22800.0,2.0,"#N/A","#N/A",1.0,Related Product,"#N/A",8754.576915770134,"#N/A","#N/A","#N/A",List,3891fdb7-0037-467b-a2e3-2a09a56e70bc,Renewable,edb6756e-e42d-43ec-ba57-2f8d3daf1c82,2.0,1.0,"#N/A",22800.0,11400.0,1.0,3.0,"#N/A",a0t3h0000013m1pAAA,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,"#N/A",a0t3h0000013m1pAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12000.0,"#N/A",2022-02-17,Renewable,0f3582b5-3de6-4224-81ac-020522b866b9,"#N/A",8754.576915770134,false
0134884b-a48d-4c96-8dfe-45072230ff04,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,1.0,false,Recurring,false,"#N/A",1200.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxXAAU,false,1200.0,"#N/A","#N/A",1200.0,14.0,"#N/A","#N/A",2.0,Component,"#N/A",69.49596130990415,"#N/A","#N/A","#N/A",List,f3d330b9-4cac-4e01-9b28-02a4cb4fb43e,Renewable,a6f07a72-e43a-451d-b99a-2bcc4d60e4d0,12.0,1.0,"#N/A",1200.0,100.0,1.0,3.0,"#N/A",a0t3h0000013mk3AAA,2f7a9af7-50ff-4a65-875d-e3a7f4226227,"#N/A",a0t3h0000013m2vAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",100.0,"#N/A",2022-01-17,Renewable,"#N/A","#N/A",69.49596130990415,false
